Region,Depth,Month,Year,Site_ID,Lat,Long,Total Number of SAGs,Total Number of Sequenced SAGs
SASG,800,Nov,2007,SASG_800_Nov_2007,-12.494833,-4.998667,258,32
SASG,10,Nov,2007,SASG_10_Nov_2007,-12.494833,-4.998667,89,5
NPSG,770,Sep,2009,NPSG_770_Sep_2009,22.75,-158,245,32
NPSG,4800,Sep,2009,NPSG_4800_Sep_2009,22.75,-158,10,10
NPSG,3000,Sep,2009,NPSG_3000_Sep_2009,22.75,-158,6,6
NPSG,200,Sep,2009,NPSG_200_Sep_2009,22.75,-158,3,3
NPSG,25,Sep,2009,NPSG_25_Sep_2009,22.75,-158,147,10
SI,100,Aug,2011,SI_100_Aug_2011,48.591667,-123.505,248,149
SI,150,Aug,2011,SI_150_Aug_2011,48.591667,-123.505,186,116
SI,185,Aug,2011,SI_185_Aug_2011,48.591667,-123.505,220,111
NESAP,1000,Jun,2010,NESAP_1000_Jun_2010,50,-145,66,65
NESAP,3000,Jun,2010,NESAP_3000_Jun_2010,50,-145,35,28
ETSP_1,53,Nov,2010,ETSP_1_53_Nov_2010,-20.083,-70.8,84,45
Baltic,104.3,Nov,2011,Baltic_104.3_Nov_2011,57.318,20.0511,114,29
Baltic,109.1,Nov,2011,Baltic_109.1_Nov_2011,57.318,20.0511,110,34
Baltic,129.1,Nov,2011,Baltic_129.1_Nov_2011,57.318,20.0511,114,20
ETNP,100,Jun,2013,ETNP_100_Jun_2013,18.9,-104.5,57,19
ETNP,150,Jun,2013,ETNP_150_Jun_2013,18.9,-104.5,26,6
ETNP,300,Jun,2013,ETNP_300_Jun_2013,18.9,-104.5,66,25
ETSP_2,250,Jul,2013,ETSP_2_250_Jul_2013,-12.998,-82.199,52,13
ETSP_2,405,Jul,2013,ETSP_2_405_Jul_2013,-12.998,-82.199,73,13
ETSP_2,115,Jul,2013,ETSP_2_115_Jul_2013,-12.998,-82.199,23,11
ETSP_1,20,Nov,2010,ETSP_1_20_Nov_2010,-20.08,-70.8,259,237
ETSP_1,55,Nov,2010,ETSP_1_55_Nov_2010,-20.08,-70.8,323,323
ETSP_3,14,Nov,2010,ETSP_3_14_Nov_2010,-23.46,-88.77,328,325
ETSP_3,112,Nov,2010,ETSP_3_112_Nov_2010,-23.46,-88.77,311,310
ETSP_4,14,Dec,2010,ETSP_4_14_Dec_2010,-26.25,-103.96,311,307
ETSP_4,180,Dec,2010,ETSP_4_180_Dec_2010,-26.25,-103.96,316,315
NPSG,5,Aug,2009,NPSG_5_Aug_2009,22.75,-158,302,299
NPSG,100,Nov,2009,NPSG_100_Nov_2009,22.75,-158,276,272
Benguela,91,May,2015,Benguela_91_May_2015,-22.393333,14.031833,76,54
ESPCU_1,80,Mar,2015,ESPCU_1_80_Mar_2015,-36.45,-73,93,64
ETNP,125,Jun,2013,ETNP_125_Jun_2013,18.9,-104.5,31,15
ETNP,60,Jun,2013,ETNP_60_2013,18.9,-104.5,5,1
NPSG,60,Jan,2009,NPSG_60_Jan_2009,22.75,-158,13,13
NPSG,60,Jul,2009,NPSG_60_Jul_2009,22.75,-158,5,5
NPSG,500,Dec,2015,NPSG_500_Dec_2015,22.75,-158,33,33
NPSG,25,Dec,2015,NPSG_25_Dec_2015,22.75,-158,46,46
NPSG,200,Dec,2015,NPSG_200_Dec_2015,22.75,-158,21,21
NPSG,1000,May,2016,NPSG_1000_May_2016,22.75,-158,16,16
NPSG,750,May,2016,NPSG_750_May_2016,22.75,-158,41,41
NPSG,4000,May,2016,NPSG_4000_May_2016,22.75,-158,38,38
NPSG,125,Dec,2015,NPSG_125_Dec_2015,22.75,-158,53,53
