Sample_ID,Completeness,Contamination,WGS_5S,WGS_16S,WGS_23S,WGS_tRNA,Quality_Classification
AAA001_A19,27.18,0,0,0,0,9,Low
AAA001_B15,25.57,0,0,0,0,9,Low
AAA001_C10,76.18,3.81,1,0,1,31,Medium
AAA001_C21,42.02,0.99,0,1,0,19,Low
AAA001_F05,12.28,0,0,0,1,26,Low
AAA001_I23,13.79,0,0,0,0,6,Low
AAA003_E02,47.72,0,1,1,1,19,Low
AAA003_E22,34.71,0.1,1,1,1,22,Low
AAA003_L08,74.14,0,0,1,1,23,Medium
AAA007_C21,19.5,0,0,0,0,9,Low
AAA007_E02,37.74,0,0,0,0,16,Low
AAA007_E15,22.73,0.97,0,0,0,6,Low
AAA007_G17,0,0,0,0,0,3,Low
AAA007_M09,4.17,0,0,0,0,16,Low
AAA007_M20,12.62,0,0,0,0,7,Low
AAA007_N19,58.89,0,1,0,0,27,Medium
AAA007_N23,9.22,0,0,0,0,6,Low
AAA007_O11,3.74,0,0,0,0,4,Low
AAA007_O20,57.74,1.77,1,1,1,16,Medium
AAA007_O23,98.79,0.97,1,1,1,45,High
AAA008_E15,15.29,0,0,0,0,2,Low
AAA008_E17,13.11,0,1,0,0,6,Low
AAA008_E19,24.06,0,0,0,0,5,Low
AAA008_G03,37.89,0,0,0,0,11,Low
AAA008_M21,10.44,0,0,0,1,2,Low
AAA008_M23,8.74,0,0,0,0,5,Low
AAA008_N07,13.27,0,0,0,0,8,Low
AAA008_O05,29.21,0,0,0,0,7,Low
AAA008_O18,12.7,0,0,0,0,2,Low
AAA008_P02,25.26,0,0,0,1,7,Low
AAA008_P15,84.44,3.98,1,1,1,32,Medium
AAA008_P23,21.12,0,0,0,0,7,Low
AAA015_D07,58.77,1.75,1,0,1,20,Medium
AAA015_L03,22.41,0,1,1,1,16,Low
AAA015_M09,52.42,2.14,1,1,1,18,Medium
AAA015_N04,12.93,0,0,0,0,8,Low
AAA015_O19,17.24,0,0,0,0,8,Low
AAA240_E13,73.3,1.89,1,1,1,31,Medium
AAA240_I17,77.05,3.05,1,1,1,28,Medium
AAA240_J05,14.4,0,1,1,1,7,Low
AAA240_J09,58.65,1.73,1,1,1,45,Medium
AAA240_K04,8.33,0,0,0,0,2,Low
AAA240_N13,54.06,4.07,1,1,1,52,Medium
AAA240_O02,25.44,0,0,0,0,12,Low
AAA240_O15,27.72,0.2,1,0,1,27,Low
AAA242_N05,6.07,0,1,0,1,4,Low
AAA242_O13,0,0,1,1,1,7,Low
AAA242_P09,0,0,0,0,0,6,Low
AAA242_P21,0,0,0,0,0,1,Low
AAA282_C19,45.28,0,0,1,0,13,Low
AAA282_E05,4.17,0,1,1,1,9,Low
AAA282_E08,53.18,0.04,1,1,1,18,Medium
AAA282_K18,77.99,0,1,1,1,34,Medium
AAA283_D08,1.72,0,0,1,1,7,Low
AAA283_E16,45.6,0.26,0,0,0,14,Low
AAA285_F05,0,0,0,0,0,4,Low
AAA286_D17,80.99,0,1,0,0,37,Medium
AAA286_M02,54.65,0.85,0,0,0,35,Medium
AAA287_E17,78.4,0,1,0,0,38,Medium
AAA287_I03,52.35,0,0,0,0,17,Medium
AAA287_N16,27.4,0,0,0,0,11,Low
AAA288_C17,25.97,0,0,0,0,6,Low
AAA288_C18,40.5,0.93,0,0,1,18,Low
AAA288_C23,88.15,0,1,1,1,42,Medium
AAA288_D03,17.88,0.24,0,0,0,5,Low
AAA288_D22,32.61,0,1,0,0,15,Low
AAA288_E09,26.73,0,0,0,0,5,Low
AAA288_E13,32.42,0,0,1,0,17,Low
AAA288_G05,38.75,1.46,0,0,0,12,Low
AAA288_G21,42.17,0,1,0,0,20,Low
AAA288_I14,63.67,1.94,0,1,1,26,Medium
AAA288_J14,36.89,0,1,0,0,19,Low
AAA288_K02,23.3,0.07,1,0,0,10,Low
AAA288_K05,25.89,0,1,0,0,9,Low
AAA288_K20,21.12,0,0,0,0,10,Low
AAA288_L16,73.09,2.61,1,1,1,50,Medium
AAA288_M04,26.7,0,0,0,0,9,Low
AAA288_M23,13.83,0,0,0,0,6,Low
AAA288_N07,33.87,0,0,0,0,4,Low
AAA288_N15,21.28,0,0,0,0,8,Low
AAA288_N23,21.44,0,0,0,0,5,Low
AAA288_O17,3.4,0,0,0,0,3,Low
AAA288_O22,12.86,1.94,0,0,0,5,Low
AAA288_P02,40.78,0.97,2,0,0,18,Low
AAA288_P18,30.02,0,0,0,0,7,Low
AAA290_P23,17.92,0,0,0,0,3,Low
AAA292_A19,39.62,0,0,0,0,10,Low
AAA292_P19,21.36,0,1,0,0,6,Low
AAA298_D23,93.41,2.2,1,1,1,34,High
AAA298_K06,64.88,3.96,0,0,0,21,Medium
AAA298_N10,60.15,3.02,1,1,1,30,Medium
AAA300_B11,12.18,0,1,1,1,8,Low
AAA300_D14,78.24,3.49,1,1,1,29,Medium
AAA300_J04,25.61,3.45,0,0,0,7,Low
AAA300_J16,12.46,0.58,1,0,2,18,Low
AAA300_K03,52.2,2.25,1,1,1,20,Medium
AAA300_N18,57.43,4.11,1,1,1,16,Medium
AAA300_O17,55.69,3.26,1,0,1,20,Medium
AB-746_A08,44.09,2.48,1,1,1,20,Low
AB-746_A15,75,2.66,1,1,1,23,Medium
AB-746_A16,50,0.17,1,1,1,17,Medium
AB-746_A18,54.08,2.52,0,0,0,25,Medium
AB-746_B07,12.5,0,1,0,0,3,Low
AB-746_B08,2.55,0.16,0,0,0,3,Low
AB-746_B09,46.65,1.11,1,1,1,24,Low
AB-746_B11,37.4,3.47,0,0,0,30,Low
AB-746_B13,52.11,4.43,1,1,1,13,Medium
AB-746_B18,22.14,1.79,0,0,0,8,Low
AB-746_B19,38.85,3.77,1,1,1,8,Low
AB-746_C02,29.96,0.85,1,1,1,15,Low
AB-746_C03,78.4,2.21,1,1,1,29,Medium
AB-746_C04,28.12,2.43,0,0,0,7,Low
AB-746_C16,26.35,2.01,0,1,0,9,Low
AB-746_C18,66.55,4.31,1,1,1,27,Medium
AB-746_C20,26.77,0.75,1,1,1,14,Low
AB-746_D04_M13F,35.66,0.86,1,0,1,15,Low
AB-746_D04_M13R,29.47,1.72,0,0,0,13,Low
AB-746_D19,41.5,4.85,0,0,0,10,Low
AB-746_E04,25.9,0,1,0,1,11,Low
AB-746_E08,0,0,0,0,0,2,Low
AB-746_E10,21.84,2.91,0,0,1,2,Low
AB-746_E14,22.82,4.32,1,1,1,1,Low
AB-746_E15,21.19,0,0,1,1,11,Low
AB-746_E17,45.99,3.57,1,1,1,11,Low
AB-746_E19,88.83,1.94,1,1,1,36,Medium
AB-746_E20,40.66,0.85,1,1,1,18,Low
AB-746_E21,22.52,0,1,0,1,14,Low
AB-746_F02,51.58,1.99,1,1,1,21,Medium
AB-746_F05,17.44,0,1,0,1,8,Low
AB-746_F08,1.72,0,0,0,0,0,Low
AB-746_F10,72.67,3.68,1,1,1,28,Medium
AB-746_F13,27.44,2.5,0,0,0,10,Low
AB-746_F17,81.23,4.85,0,0,0,38,Medium
AB-746_G04,35.08,0,0,0,0,9,Low
AB-746_G10,66.38,0.33,0,0,0,28,Medium
AB-746_G11,46.44,4.85,1,0,1,24,Low
AB-746_G13,17.11,1.48,1,0,1,9,Low
AB-746_G16,35.85,2.83,1,0,0,6,Low
AB-746_G23,53.13,4.39,0,0,0,29,Medium
AB-746_I02,61.24,3.05,1,1,1,27,Medium
AB-746_I05,53.26,1.74,0,0,1,19,Medium
AB-746_I19,38.31,2.1,0,1,1,14,Low
AB-746_I20,17.08,0,0,0,0,8,Low
AB-746_J03,68.77,1.94,1,1,1,21,Medium
AB-746_J08,54.99,4.2,1,1,1,22,Medium
AB-746_J11_M13F,45.3,4.5,1,0,0,13,Low
AB-746_J11_M13R,31.4,2.49,2,0,0,11,Low
AB-746_J13,76.7,1.94,1,1,1,31,Medium
AB-746_J14,36.15,1.99,1,1,1,9,Low
AB-746_K05,78.64,4.85,0,0,0,31,Medium
AB-746_K07,28.39,0,1,2,2,13,Low
AB-746_K08,25.62,0,0,0,0,12,Low
AB-746_K13,93.2,3.88,1,1,2,39,High
AB-746_K17,44.39,1,0,1,0,15,Low
AB-746_K19,17.21,1.03,1,1,2,4,Low
AB-746_L13,20.31,0.42,0,0,0,11,Low
AB-746_L20,37.99,1.82,1,1,1,8,Low
AB-746_M03,24.33,2.76,0,1,0,5,Low
AB-746_M23,82.04,2.73,1,1,1,32,Medium
AB-746_N05,33.23,3.66,1,1,1,9,Low
AB-746_N13,70.33,1.1,1,1,1,37,Medium
AB-746_N19,48.54,0.97,1,0,2,24,Low
AB-746_O07,64.99,3.8,1,1,1,32,Medium
AB-746_O09,37.74,4.72,1,1,1,8,Low
AB-746_O11,64.65,2.91,1,1,1,29,Medium
AB-746_O14,49.48,2.5,1,1,1,22,Low
AB-746_O15,86.19,3.97,1,1,1,30,Medium
AB-746_O19,47.22,3.63,0,0,0,27,Low
AB-746_O21,84.39,0.66,1,1,1,28,Medium
AB-746_O23,60.57,1.61,1,1,1,18,Medium
AB-746_P05,48.76,0.66,1,0,1,18,Low
AB-746_P06,52.35,0,0,0,0,14,Medium
AB-746_P09,6.9,0,0,1,1,8,Low
AB-746_P17,78.5,1.12,1,0,1,31,Medium
AB-746_P19,40.9,1.21,1,1,1,15,Low
AB-746_P20,15.5,4.06,0,0,0,5,Low
AB-747_A08,42.12,1.47,1,1,1,12,Low
AB-747_A11,22.67,1.14,0,1,0,5,Low
AB-747_A16,86.82,3.88,1,1,1,37,Medium
AB-747_A17,48.03,4.34,1,0,1,12,Low
AB-747_A23,13.79,0,1,1,1,11,Low
AB-747_B02,13.79,0,1,1,1,10,Low
AB-747_B03,19.65,0.05,1,0,1,11,Low
AB-747_B05,45.81,4.86,1,0,0,18,Low
AB-747_B10,51,3.5,1,1,1,11,Medium
AB-747_C02,75.61,3.79,1,1,1,37,Medium
AB-747_C08,56.48,1.71,1,1,1,35,Medium
AB-747_C16,72.6,3.88,1,1,1,38,Medium
AB-747_D03,53.06,1.07,1,1,1,21,Medium
AB-747_D08,42.35,1.32,1,1,1,19,Low
AB-747_D16,69.67,3.05,1,1,1,24,Medium
AB-747_D17,56.38,4.05,0,0,1,13,Medium
AB-747_D19,55.66,0.04,1,1,1,23,Medium
AB-747_E13,43.95,0.28,1,1,1,20,Low
AB-747_E14,43.95,0.28,1,1,1,20,Low
AB-747_E18,35.85,1.89,0,1,1,12,Low
AB-747_E21,78.12,2.46,1,1,1,23,Medium
AB-747_F02,47.06,1.9,0,0,0,8,Low
AB-747_F05,64.71,3.31,1,1,1,22,Medium
AB-747_F07,27.28,4.98,1,1,1,10,Low
